,# Time,Regen In ,Regen Out ,T2,T3,T4,T5,T6,T7,T8,T9,T10,cDAQ1Mod3/ai11,cDAQ1Mod3/ai12,cDAQ1Mod3/ai13,cDAQ1Mod3/ai14,cDAQ1Mod3/ai15,Time (s)
0,1712438590.7211404,28.393803720408133,25.45962436644176,27.495344107862397,20.207106698309175,25.751237857783487,26.511366481781696,26.35012320858508,29.393495740837746,25.633449329467886,25.94137806284144,24.234682833692755,2293.702823044719,2293.702823044719,2293.702823044719,2293.702823044719,2293.702823044719,0.0
1,1712438591.7211404,28.393803720408133,25.45962436644176,27.495344107862397,20.207106698309175,25.751237857783487,26.511366481781696,26.35012320858508,29.393495740837746,25.633449329467886,25.94137806284144,24.234682833692755,2293.702823044719,2293.702823044719,2293.702823044719,2293.702823044719,2293.702823044719,0.5008617832469777
2,1712438591.7211092,28.41265723209184,25.470229874025577,27.531011762360286,20.240230242877672,25.885607084587942,26.56457143229792,26.391357727348648,29.482847423166316,25.73210674158024,26.009589872218488,24.287769090597155,2293.7194044328876,2293.7194044328876,2293.7194044328876,2293.7194044328876,2293.7194044328876,1.0017235664939554
3,1712438592.7211092,28.41265723209184,25.470229874025577,27.531011762360286,20.240230242877672,25.885607084587942,26.56457143229792,26.391357727348648,29.482847423166316,25.73210674158024,26.009589872218488,24.287769090597155,2293.7194044328876,2293.7194044328876,2293.7194044328876,2293.7194044328876,2293.7194044328876,1.5025853497409332
4,1712438592.7208154,28.399091934397894,25.46239103063166,27.54896019386831,20.2721947423716,25.963731733906894,26.602112727113074,26.40425758604517,29.534525535153048,25.79088198084372,26.0254899759018,24.30369446604188,2293.6965490299585,2293.6965490299585,2293.6965490299585,2293.6965490299585,2293.6965490299585,2.003447132987911
5,1712438593.7208154,28.399091934397894,25.46239103063166,27.54896019386831,20.2721947423716,25.963731733906894,26.602112727113074,26.40425758604517,29.534525535153048,25.79088198084372,26.0254899759018,24.30369446604188,2293.6965490299585,2293.6965490299585,2293.6965490299585,2293.6965490299585,2293.6965490299585,2.504308916234889
6,1712438593.7206743,28.412427313240176,25.47484093180368,27.57519197158636,20.298136309578936,26.1224985537886,26.667749247664197,26.441343814320657,29.616745937757347,25.920637127691062,26.0420811375936,24.3380832548166,2293.704167478168,2293.704167478168,2293.704167478168,2293.704167478168,2293.704167478168,3.0051706994818663
7,1712438594.7206743,28.412427313240176,25.47484093180368,27.57519197158636,20.298136309578936,26.1224985537886,26.667749247664197,26.441343814320657,29.616745937757347,25.920637127691062,26.0420811375936,24.3380832548166,2293.704167478168,2293.704167478168,2293.704167478168,2293.704167478168,2293.704167478168,3.506032482728844
8,1712438594.7211723,28.41840518715292,25.494898804088162,27.589918299830597,20.302768672366938,26.243458965214536,26.72900636394096,26.456316151220637,29.691152177175983,26.0100507480998,26.06097631523328,24.36023921761528,2293.694756456735,2293.694756456735,2293.694756456735,2293.694756456735,2293.694756456735,4.006894265975822
9,1712438595.7211723,28.41840518715292,25.494898804088162,27.589918299830597,20.302768672366938,26.243458965214536,26.72900636394096,26.456316151220637,29.691152177175983,26.0100507480998,26.06097631523328,24.36023921761528,2293.694756456735,2293.694756456735,2293.694756456735,2293.694756456735,2293.694756456735,4.5077560492228
10,1712438595.7212634,28.421853945207538,25.503659596935783,27.632945620714533,20.32477214751096,26.272487434564997,26.749731660798894,26.457467860771235,29.72284213050935,26.038624666702244,26.06005460696166,24.404780576902404,2293.6987897480035,2293.6987897480035,2293.6987897480035,2293.6987897480035,2293.6987897480035,5.008617832469778
11,1712438596.7212634,28.421853945207538,25.503659596935783,27.632945620714533,20.32477214751096,26.272487434564997,26.749731660798894,26.457467860771235,29.72284213050935,26.038624666702244,26.06005460696166,24.404780576902404,2293.6987897480035,2293.6987897480035,2293.6987897480035,2293.6987897480035,2293.6987897480035,5.509479615716755
12,1712438596.7214885,28.44162660782716,25.517722826305366,27.651812666334948,20.33704759229971,26.233552244251246,26.780128035490776,26.446411397942114,29.67346968810728,26.019959531739925,26.0612067421776,24.44378162467784,2293.718059992581,2293.718059992581,2293.718059992581,2293.718059992581,2293.718059992581,6.010341398963733
13,1712438597.7214885,28.44162660782716,25.517722826305366,27.651812666334948,20.33704759229971,26.233552244251246,26.780128035490776,26.446411397942114,29.67346968810728,26.019959531739925,26.0612067421776,24.44378162467784,2293.718059992581,2293.718059992581,2293.718059992581,2293.718059992581,2293.718059992581,6.511203182210711
14,1712438597.7218847,28.440017218864647,25.515186847660488,27.64652072393981,20.35534471641674,26.26511519933249,26.75963360512709,26.42637126805566,29.671632529394557,26.009128996139538,26.05959375252928,24.45624320461553,2293.701926756088,2293.701926756088,2293.701926756088,2293.701926756088,2293.701926756088,7.012064965457688
15,1712438598.7218847,28.440017218864647,25.515186847660488,27.64652072393981,20.35534471641674,26.26511519933249,26.75963360512709,26.42637126805566,29.671632529394557,26.009128996139538,26.05959375252928,24.45624320461553,2293.701926756088,2293.701926756088,2293.701926756088,2293.701926756088,2293.701926756088,7.512926748704666
16,1712438598.7214663,28.438407827454977,25.52302530786079,27.646750808940006,20.353723463710807,26.347128461051703,26.74696831111595,26.43028718498801,29.72054578906224,26.024107367529872,26.038855098440965,24.449089352021197,2293.6920675989177,2293.6920675989177,2293.6920675989177,2293.6920675989177,2293.6920675989177,8.013788531951644
