,# Time,Thrust,Ox Tank LC,Fuel Tank LC,cDAQ1Mod4/ai3,Time (s)
421400,1710548480.277588,25.433424797843664,61.716035008620686,19.236974748484865,0.0,0.0
421401,1710548480.278589,24.91622857142857,61.928761034482754,18.379806012121215,102.5,0.0006291022699554419
421402,1710548480.27959,25.28244204851752,61.781327155172406,18.787100012121225,0.0,0.0012582045399108838
421403,1710548480.280591,25.22783126684636,61.55385774137931,18.653803793939407,0.0,0.0018873068098663255
421404,1710548480.281592,25.603681940700813,61.98984078448275,18.7759919939394,102.5,0.0025164090798217675
421405,1710548480.282593,24.75239622641509,61.69707922413793,18.581601675757582,0.0,0.0031455113497772095
421406,1710548480.283594,25.019025336927225,61.73709699137931,18.79450535757576,0.0,0.003774613619732651
421407,1710548480.284595,25.62616873315364,61.899274258620686,19.307325530303036,0.0,0.004403715889688093
421408,1710548480.285596,25.703266307277623,61.94350442241378,18.65935780303032,0.0,0.005032818159643535
421409,1710548480.286597,24.871254986522914,61.54964534482759,18.957422957575766,0.0,0.005661920429598977
421410,1710548480.287598,25.658292722371968,62.15201805172413,18.824126739393943,0.0,0.006291022699554419
421411,1710548480.288599,25.91849703504043,61.97720359482758,19.386932993939407,0.0,0.006920124969509861
421412,1710548480.2896,25.75787708894879,62.05302673275861,18.116916248484856,0.0,0.007549227239465302
421413,1710548480.290601,24.945140161725067,61.94982301724137,18.372400666666685,0.0,0.008178329509420745
421414,1710548480.291602,24.707422641509435,61.14331798245615,19.055543784848496,0.0,0.008807431779376186
421415,1710548480.292603,25.292079245283016,61.41121162280703,18.879666830303044,0.0,0.009436534049331629
421416,1710548480.293604,25.51373477088949,61.66127385344828,18.692681857575764,0.0,0.01006563631928707
421417,1710548480.294605,26.496728840970352,61.50752137931035,18.481629512121227,0.0,0.010694738589242511
421418,1710548480.295606,25.40451320754717,61.82345112068965,19.18513733030304,0.0,0.011323840859197954
421419,1710548480.296607,25.928134231805927,61.289052122807036,19.049989775757584,0.0,0.011952943129153395
421420,1710548480.297608,26.140152560646897,61.67812343965517,18.78895134848486,102.5,0.012582045399108838
421421,1710548480.298609,26.4228436657682,62.103575491379296,18.277982512121223,0.0,0.01321114766906428
421422,1710548480.29961,25.706478706199466,61.4647903508772,18.94261226666668,0.0,0.013840249939019722
421423,1710548480.300611,24.967626954177895,61.9982655775862,19.21846138484849,102.5,0.014469352208975163
421424,1710548480.301612,25.099335309973046,61.77922095689655,18.792654021212137,0.0,0.015098454478930604
421425,1710548480.302613,25.176432884097032,61.537008155172416,18.929652912121217,102.5,0.015727556748886047
421426,1710548480.303614,25.64865552560647,62.25943416379312,18.626033748484858,102.5,0.01635665901884149
421427,1710548480.304615,24.7427590296496,62.5711515086207,18.8833695030303,0.0,0.01698576128879693
421428,1710548480.305616,25.23746846361186,60.93114621929827,19.238826084848487,102.5,0.017614863558752372
421429,1710548480.306617,26.0919665768194,61.899274258620686,18.45200813030304,0.0,0.018243965828707815
421430,1710548480.307618,24.225562803234503,61.50330898275863,19.0610977939394,0.0,0.018873068098663258
421431,1710548480.308619,24.19022641509434,61.63810567241379,18.69638453030304,102.5,0.019502170368618697
421432,1710548480.30962,24.42473153638814,61.97509739655172,18.870410148484854,0.0,0.02013127263857414
421433,1710548480.310621,25.29529164420485,61.926654836206886,18.15209163939394,0.0,0.020760374908529583
421434,1710548480.311622,25.47197358490566,61.60651269827586,18.63899310303032,0.0,0.021389477178485022
421435,1710548480.312623,24.913016172506737,61.4026390263158,18.890774848484856,0.0,0.022018579448440465
421436,1710548480.313624,26.024506199460916,61.94561062068965,18.676019830303044,0.0,0.022647681718395908
421437,1710548480.314625,25.311353638814012,62.32262011206898,19.03888175757576,0.0,0.02327678398835135
421438,1710548480.315626,25.484823180592986,61.66127385344828,18.85374812121213,0.0,0.02390588625830679
421439,1710548480.316627,25.85746145552561,61.289052122807036,18.91484222121213,0.0,0.024534988528262233
421440,1710548480.317628,24.996538544474397,61.537008155172416,18.694533193939403,0.0,0.025164090798217676
421441,1710548480.318629,25.799638274932608,62.06987631896551,19.274001475757586,0.0,0.025793193068173115
421442,1710548480.31963,25.7193283018868,62.05513293103447,18.74451927575759,0.0,0.02642229533812856
421443,1710548480.320631,25.72896549865229,61.98562838793102,18.805613375757588,0.0,0.027051397608084
421444,1710548480.321632,26.08554177897574,61.781327155172406,18.90003153030304,0.0,0.027680499878039444
421445,1710548480.322633,25.94419622641509,61.954035413793086,17.568920684848496,0.0,0.028309602147994883
421446,1710548480.323634,26.027718598382748,61.64442426724138,18.66306047575757,0.0,0.028938704417950326
421447,1710548480.324635,25.49767277628032,61.41549792105263,18.83708609393941,102.5,0.02956780668790577
421448,1710548480.325636,25.22783126684636,61.47121979824561,19.05924645757577,0.0,0.03019690895786121
421449,1710548480.326637,25.46233638814016,61.73288459482758,18.850045448484856,0.0,0.03082601122781665
421450,1710548480.327638,26.053417789757408,61.31905621052633,18.668614484848487,102.5,0.031455113497772094
421451,1710548480.328639,25.108972506738542,61.21404190350879,18.459413475757593,0.0,0.032084215767727534
421452,1710548480.32964,24.970839353099727,61.991946982758606,19.338798248484856,102.5,0.03271331803768298
421453,1710548480.330641,25.382026415094337,62.26154036206898,18.898180193939407,102.5,0.03334242030763842
421454,1710548480.331642,25.320990835579515,61.91823004310344,18.874112821212133,0.0,0.03397152257759386
421455,1710548480.332643,25.002963342318058,61.68654823275862,18.783397339393954,102.5,0.034600624847549305
421456,1710548480.333644,25.28244204851752,61.60019410344828,18.535318266666675,0.0,0.035229727117504744
