,# Time,Regen In ,Regen Out ,T2,T3,T4,T5,T6,T7,T8,T9,T10,cDAQ1Mod3/ai11,cDAQ1Mod3/ai12,cDAQ1Mod3/ai13,cDAQ1Mod3/ai14,cDAQ1Mod3/ai15,Time (s)
0,1716063069.5904777,20.079699821824438,23.199451010731035,24.04724471381567,22.64945961335265,22.16880543017416,22.05410257034969,20.939313253200496,24.43201222428792,22.2391014472104,20.747390634191046,15.324137206525275,2293.6992378918158,2293.6992378918158,2293.6992378918158,2293.6992378918158,2293.6992378918158,0.0
1,1716063070.5904777,20.079699821824438,23.199451010731035,24.04724471381567,22.64945961335265,22.16880543017416,22.05410257034969,20.939313253200496,24.43201222428792,22.2391014472104,20.747390634191046,15.324137206525275,2293.6992378918158,2293.6992378918158,2293.6992378918158,2293.6992378918158,2293.6992378918158,0.500425066101
2,1716063070.5892332,20.108193820040672,23.21400592553898,24.08325747677959,22.692914142125765,22.156086934822927,22.019180648546136,20.936998331590807,24.4456277936336,22.25713722171341,20.742528493175673,15.312046045777445,2293.6992378918158,2293.6992378918158,2293.6992378918158,2293.6992378918158,2293.6992378918158,1.000850132202
3,1716063071.5892332,20.108193820040672,23.21400592553898,24.08325747677959,22.692914142125765,22.156086934822927,22.019180648546136,20.936998331590807,24.4456277936336,22.25713722171341,20.742528493175673,15.312046045777445,2293.6992378918158,2293.6992378918158,2293.6992378918158,2293.6992378918158,2293.6992378918158,1.501275198303
4,1716063071.589313,20.151975947867715,23.228560649955572,24.132196005497917,22.69476323370404,22.17504900293697,22.047627063263167,20.952045239698624,24.522241054722883,22.287196206974514,20.7710064598667,15.29507174212544,2293.705960057041,2293.705960057041,2293.705960057041,2293.705960057041,2293.705960057041,2.001700264404
5,1716063072.589313,20.151975947867715,23.228560649955572,24.132196005497917,22.69476323370404,22.17504900293697,22.047627063263167,20.952045239698624,24.522241054722883,22.287196206974514,20.7710064598667,15.29507174212544,2293.705960057041,2293.705960057041,2293.705960057041,2293.705960057041,2293.705960057041,2.502125330505
6,1716063072.590072,20.17166579600205,23.2447323426273,24.16451270568504,22.707475655840447,22.15400571290667,22.083241895347616,20.957369483628153,24.60369443981616,22.303381483504605,20.7909174712444,15.271818941496756,2293.706408201928,2293.706408201928,2293.706408201928,2293.706408201928,2293.706408201928,3.002550396606
7,1716063073.590072,20.17166579600205,23.2447323426273,24.16451270568504,22.707475655840447,22.15400571290667,22.083241895347616,20.957369483628153,24.60369443981616,22.303381483504605,20.7909174712444,15.271818941496756,2293.706408201928,2293.706408201928,2293.706408201928,2293.706408201928,2293.706408201928,3.502975462707
8,1716063073.5898964,20.188807279824847,23.224864230047256,24.20744627773084,22.709324723428097,22.187536045262025,22.074916450221806,20.94463755541907,24.622153285388,22.32210987142123,20.77795220007464,15.234613668266404,2293.684449181581,2293.684449181581,2293.684449181581,2293.684449181581,2293.684449181581,4.003400528808
9,1716063074.5898964,20.188807279824847,23.224864230047256,24.20744627773084,22.709324723428097,22.187536045262025,22.074916450221806,20.94463755541907,24.622153285388,22.32210987142123,20.77795220007464,15.234613668266404,2293.684449181581,2293.684449181581,2293.684449181581,2293.684449181581,2293.684449181581,4.503825594909
10,1716063074.5997343,20.216835387951534,23.246811543196987,24.25130141674525,22.75069681376817,22.224765113738464,22.101280150321504,20.939776236969607,24.638765979295663,22.36234017363473,20.798557652893845,15.236706490741668,2293.690723170914,2293.690723170914,2293.690723170914,2293.690723170914,2293.690723170914,5.00425066101
11,1716063075.5997343,20.216835387951534,23.246811543196987,24.25130141674525,22.75069681376817,22.224765113738464,22.101280150321504,20.939776236969607,24.638765979295663,22.36234017363473,20.798557652893845,15.236706490741668,2293.690723170914,2293.690723170914,2293.690723170914,2293.690723170914,2293.690723170914,5.5046757271110005
12,1716063075.5896647,20.24532609052904,23.2671412994749,24.294231589711153,22.772191207967648,22.246963230410568,22.149149513577353,20.967786412104736,24.662300195739164,22.40464980721193,20.861992380137764,15.223684434192275,2293.704167478168,2293.704167478168,2293.704167478168,2293.704167478168,2293.704167478168,6.005100793212
13,1716063076.5896647,20.24532609052904,23.2671412994749,24.294231589711153,22.772191207967648,22.246963230410568,22.149149513577353,20.967786412104736,24.662300195739164,22.40464980721193,20.861992380137764,15.223684434192275,2293.704167478168,2293.704167478168,2293.704167478168,2293.704167478168,2293.704167478168,6.505525859313
14,1716063076.589291,20.28076478737655,23.28238837272305,24.31731163238124,22.79206737775247,22.26546132837148,22.203722747141505,21.017091939924324,24.66506889368524,22.43239296808426,20.899032960074468,15.222986820655699,2293.7086489273674,2293.7086489273674,2293.7086489273674,2293.7086489273674,2293.7086489273674,7.005950925414
15,1716063077.589291,20.28076478737655,23.28238837272305,24.31731163238124,22.79206737775247,22.26546132837148,22.203722747141505,21.017091939924324,24.66506889368524,22.43239296808426,20.899032960074468,15.222986820655699,2293.7086489273674,2293.7086489273674,2293.7086489273674,2293.7086489273674,2293.7086489273674,7.506375991515
16,1716063077.5916667,20.29883116515507,23.289780817799038,24.330467039019663,22.832743091175406,22.294132782429223,22.22291525103366,21.030980443160782,24.675451448349666,22.44996328366992,20.903199951595596,15.21415035292332,2293.696997173433,2293.696997173433,2293.696997173433,2293.696997173433,2293.696997173433,8.006801057616
17,1716063078.5916667,20.29883116515507,23.289780817799038,24.330467039019663,22.832743091175406,22.294132782429223,22.22291525103366,21.030980443160782,24.675451448349666,22.44996328366992,20.903199951595596,15.21415035292332,2293.696997173433,2293.696997173433,2293.696997173433,2293.696997173433,2293.696997173433,8.507226123717
